               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11234,              0.0379,            0.070398,          0.00087154,             0.18373,           0.0024606,          0.00039682,            0.094579,            0.038389,            0.063853,              0.0712,              0.0032,              0.0032
                   1,            0.091413,            0.037997,            0.056119,             0.73069,            0.066539,           0.0043959,          0.00091421,            0.087568,            0.040367,            0.053921,            0.039355,            0.004355,            0.004355
                   2,            0.078937,            0.041516,            0.047518,             0.75372,            0.047928,            0.023455,            0.006591,              0.0739,            0.043371,            0.049654,            0.005332,            0.003332,            0.003332
