               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  26,            0.043096,            0.023535,           0.0066191,             0.62956,             0.55983,             0.63365,             0.32459,             0.04673,            0.027617,            0.013052,             0.00505,             0.00505,             0.00505
                  27,            0.042577,            0.022777,           0.0063273,             0.85725,             0.49031,             0.64245,             0.34663,             0.04787,            0.027826,            0.012625,            0.004852,            0.004852,            0.004852
                  28,             0.04192,            0.022069,           0.0064453,             0.74664,             0.48773,             0.63444,             0.30316,             0.04841,            0.028262,            0.012629,            0.004654,            0.004654,            0.004654
                  29,             0.04131,            0.022365,           0.0060744,             0.70777,             0.51188,             0.63241,             0.34272,            0.047752,            0.027771,            0.012991,            0.004456,            0.004456,            0.004456
                  30,            0.041778,            0.022028,           0.0060675,             0.87849,             0.48022,             0.62511,             0.34983,            0.046864,              0.0279,            0.012463,            0.004258,            0.004258,            0.004258
                  31,            0.039779,             0.02137,           0.0056432,             0.71416,             0.52894,             0.64206,              0.3755,            0.047541,            0.029175,            0.012582,             0.00406,             0.00406,             0.00406
                  32,            0.040452,            0.021416,           0.0050374,             0.83639,             0.49828,             0.63448,             0.35299,            0.047297,            0.027647,            0.012273,            0.003862,            0.003862,            0.003862
                  33,            0.039311,            0.021454,            0.004964,             0.78109,             0.53183,             0.63937,             0.37935,            0.046458,            0.026885,            0.012266,            0.003664,            0.003664,            0.003664
                  34,            0.038501,            0.020457,           0.0052385,             0.57575,             0.67066,             0.65699,             0.33532,            0.046454,            0.028262,            0.012267,            0.003466,            0.003466,            0.003466
                  35,            0.038151,            0.020785,           0.0052983,             0.61093,             0.65014,             0.65804,             0.35096,            0.046606,             0.02753,            0.012056,            0.003268,            0.003268,            0.003268
                  36,            0.037835,            0.020144,           0.0055161,             0.82432,             0.50802,             0.64032,             0.34852,            0.046523,            0.028395,            0.011908,             0.00307,             0.00307,             0.00307
                  37,            0.037204,            0.021082,           0.0051598,             0.81632,             0.51296,             0.64042,             0.32891,            0.046899,             0.02865,            0.011804,            0.002872,            0.002872,            0.002872
                  38,             0.03692,              0.0195,           0.0045116,             0.57674,             0.65558,             0.62938,             0.33546,            0.047129,            0.027966,            0.011974,            0.002674,            0.002674,            0.002674
                  39,            0.036609,            0.019682,           0.0045247,             0.84684,             0.50823,             0.64179,             0.37287,            0.046424,            0.028256,             0.01207,            0.002476,            0.002476,            0.002476
                  40,             0.03542,            0.021021,           0.0044586,             0.85268,             0.50506,             0.64388,             0.37419,            0.046226,            0.028061,            0.012131,            0.002278,            0.002278,            0.002278
                  41,             0.03533,             0.01981,           0.0042577,             0.65731,             0.64517,             0.64166,             0.34436,            0.045897,            0.029015,            0.012268,             0.00208,             0.00208,             0.00208
                  42,            0.034524,            0.019874,           0.0040539,             0.61098,             0.65423,               0.647,             0.35678,             0.04588,             0.02923,            0.012352,            0.001882,            0.001882,            0.001882
                  43,            0.034665,            0.020178,           0.0040656,              0.5938,             0.64734,             0.63951,             0.37108,            0.045778,            0.029512,            0.012014,            0.001684,            0.001684,            0.001684
                  44,            0.033956,            0.018817,           0.0040294,             0.58413,             0.65066,             0.63164,              0.3425,            0.046129,             0.02974,            0.011643,            0.001486,            0.001486,            0.001486
                  45,            0.033068,            0.018918,           0.0042638,             0.70624,             0.63139,             0.63748,             0.36816,            0.045622,            0.029508,            0.011917,            0.001288,            0.001288,            0.001288
                  46,            0.032806,             0.01981,           0.0036565,             0.63901,             0.64039,             0.64045,              0.3709,            0.045692,            0.029504,            0.012021,             0.00109,             0.00109,             0.00109
                  47,            0.032566,            0.019438,           0.0037456,             0.61345,             0.61466,             0.63798,             0.35861,            0.045942,            0.029645,             0.01209,            0.000892,            0.000892,            0.000892
                  48,            0.031785,            0.018678,           0.0037019,             0.61303,             0.61994,             0.63408,             0.38318,            0.045521,            0.029738,             0.01205,            0.000694,            0.000694,            0.000694
                  49,             0.03257,            0.018593,           0.0037109,             0.62608,             0.62953,              0.6349,             0.38507,            0.045757,            0.029903,            0.012128,            0.000496,            0.000496,            0.000496
