               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11234,              0.0379,            0.070398,          0.00087154,             0.18373,           0.0024606,          0.00039682,            0.094579,            0.038389,            0.063853,              0.0712,              0.0032,              0.0032
                   1,            0.089868,            0.037818,            0.054347,            0.091668,            0.051117,           0.0017446,          0.00033719,            0.086221,            0.043886,            0.054081,            0.041371,           0.0063713,           0.0063713
                   2,            0.083074,            0.038156,            0.044647,             0.69242,             0.06163,            0.049077,            0.014617,            0.078248,            0.039229,            0.045197,            0.011412,           0.0094119,           0.0094119
                   3,            0.079436,            0.034868,            0.039172,             0.73174,            0.089666,             0.14628,            0.064329,            0.070575,            0.034452,            0.038344,            0.009406,            0.009406,            0.009406
                   4,            0.072762,            0.032967,            0.033219,             0.47348,             0.27902,             0.14061,            0.040077,            0.066589,            0.031744,            0.033235,            0.009406,            0.009406,            0.009406
                   5,            0.068603,            0.030521,            0.027685,             0.59473,             0.28552,             0.17413,            0.066138,            0.065252,            0.030666,            0.028962,            0.009208,            0.009208,            0.009208
                   6,            0.065314,            0.030616,            0.024272,              0.5866,             0.23599,             0.26191,             0.11563,            0.061239,            0.030419,            0.027714,             0.00901,             0.00901,             0.00901
                   7,            0.062233,            0.031068,            0.021854,             0.87951,             0.24447,             0.26974,             0.11674,            0.056764,            0.029909,            0.025274,            0.008812,            0.008812,            0.008812
                   8,            0.059559,            0.028252,            0.018151,               0.638,             0.37212,             0.35523,             0.14839,            0.057528,            0.028829,            0.022506,            0.008614,            0.008614,            0.008614
                   9,            0.058296,            0.028064,            0.017486,             0.66983,             0.40675,             0.40019,             0.17205,            0.056198,            0.029167,            0.019319,            0.008416,            0.008416,            0.008416
                  10,            0.057272,            0.027628,            0.015425,             0.70194,             0.36436,             0.35786,             0.16866,            0.055602,            0.028562,            0.018802,            0.008218,            0.008218,            0.008218
                  11,            0.056003,            0.027032,            0.013725,             0.71266,             0.40066,             0.41691,             0.19762,            0.054556,            0.027064,            0.015889,             0.00802,             0.00802,             0.00802
                  12,            0.054344,            0.026739,            0.014021,             0.76793,             0.40448,             0.46426,             0.23574,            0.052457,            0.027152,            0.016368,            0.007822,            0.007822,            0.007822
                  13,            0.054235,            0.024798,            0.012404,             0.72944,              0.4047,             0.49723,             0.25069,             0.05527,            0.026623,            0.015205,            0.007624,            0.007624,            0.007624
                  14,            0.053557,            0.026183,            0.010995,             0.74415,             0.42922,             0.49574,             0.25655,            0.053515,            0.026473,            0.014634,            0.007426,            0.007426,            0.007426
                  15,            0.051629,            0.025689,            0.010356,             0.64495,             0.50479,             0.53533,             0.26595,            0.051087,             0.02666,            0.014455,            0.007228,            0.007228,            0.007228
                  16,            0.049995,              0.0261,            0.010406,             0.59354,             0.50041,              0.5341,             0.26786,            0.053321,            0.026735,            0.014641,             0.00703,             0.00703,             0.00703
                  17,            0.049874,            0.025838,             0.01002,             0.65349,             0.47973,             0.53584,             0.27329,            0.051728,            0.027827,            0.014081,            0.006832,            0.006832,            0.006832
                  18,            0.048763,            0.025361,           0.0084755,             0.67992,             0.50261,             0.53611,              0.2691,             0.05162,            0.026657,            0.013853,            0.006634,            0.006634,            0.006634
                  19,            0.048366,            0.025086,           0.0085174,             0.72951,             0.51086,             0.58868,             0.29563,            0.049482,            0.026541,            0.012654,            0.006436,            0.006436,            0.006436
                  20,            0.047835,            0.023564,           0.0077193,             0.69516,             0.52033,             0.58925,             0.32046,            0.049869,            0.026762,            0.012702,            0.006238,            0.006238,            0.006238
                  21,            0.046019,            0.023764,            0.007368,             0.58043,             0.57484,             0.59883,             0.28806,            0.049895,            0.028075,            0.013257,             0.00604,             0.00604,             0.00604
                  22,            0.046127,            0.022861,           0.0080267,             0.65818,             0.56883,             0.59996,             0.29741,            0.049464,            0.027216,            0.013788,            0.005842,            0.005842,            0.005842
                  23,            0.045448,            0.023404,           0.0078846,             0.77089,             0.51188,             0.59301,             0.31518,            0.049053,            0.027247,            0.013278,            0.005644,            0.005644,            0.005644
                  24,            0.045116,            0.023406,           0.0074529,             0.67152,             0.54249,             0.65183,             0.35609,            0.048715,            0.026831,            0.012759,            0.005446,            0.005446,            0.005446
                  25,            0.043639,            0.022498,           0.0062478,              0.6381,             0.62391,             0.66611,             0.34142,            0.046941,            0.027084,            0.012444,            0.005248,            0.005248,            0.005248
